['0', '*', '*', 'beta']
['2', '3', '3', 'beta']
['3', '3', '3', 'beta']
['1', '2', '2', 'alpha']
['2', '2', '2', 'alpha']
['3', '2', '2', 'alpha']
['1', '3', '2', 'alpha']
['2', '3', '2', 'alpha']
['3', '3', '2', 'alpha']
['1', '2', '3', 'alpha']
['2', '2', '3', 'alpha']
['3', '2', '3', 'alpha']
['1', '3', '3', 'alpha']
['2', '3', '3', 'alpha']
['3', '3', '3', 'alpha']
['1', '2', '4', 'alpha']
['2', '2', '4', 'alpha']
['3', '2', '4', 'alpha']
['1', '3', '4', 'alpha']
['2', '3', '4', 'alpha']
['3', '3', '4', 'alpha']
['27', '2', '2', 'alpha']
['27', '3', '2', 'alpha']
['27', '2', '3', 'alpha']
['27', '3', '3', 'alpha']
['99', '1', '93', 'gamma']
['99', '2', '93', 'gamma']
['99', '3', '93', 'gamma']
['99', '4', '93', 'gamma']
['140', '1', '22', 'gamma']
['140', '2', '22', 'gamma']
['140', '3', '22', 'gamma']
['43', '*', '1', 'alpha']
['43', '*', '2', 'alpha']
['43', '*', '3', 'alpha']
['43', '*', '4', 'alpha']
['241', '32', '1', 'gamma']
['241', '32', '2', 'gamma']
['241', '32', '3', 'gamma']
['65', '80', '2', 'beta']
['65', '80', '3', 'beta']
['196', '2', '2', 'gamma']
['196', '3', '2', 'gamma']
['196', '2', '3', 'gamma']
['196', '3', '3', 'gamma']
['1', '242', '*', 'gamma']
['2', '242', '*', 'gamma']
['3', '242', '*', 'gamma']
['51', '129', '1', 'beta']
['51', '129', '2', 'beta']
['51', '129', '3', 'beta']
['211', '1', '2', 'beta']
['211', '2', '2', 'beta']
['211', '3', '2', 'beta']
['211', '4', '2', 'beta']
['211', '1', '3', 'beta']
['211', '2', '3', 'beta']
['211', '3', '3', 'beta']
['211', '4', '3', 'beta']
['211', '1', '4', 'beta']
['211', '2', '4', 'beta']
['211', '3', '4', 'beta']
['211', '4', '4', 'beta']
['117', '149', '112', 'alpha']
['207', '2', '1', 'gamma']
['207', '3', '1', 'gamma']
['207', '2', '2', 'gamma']
['207', '3', '2', 'gamma']
['207', '2', '3', 'gamma']
['207', '3', '3', 'gamma']
['194', '2', '163', 'alpha']
['194', '3', '163', 'alpha']
['2', '151', '181', 'beta']
['3', '151', '181', 'beta']
['1', '35', '12', 'alpha']
['2', '35', '12', 'alpha']
['3', '35', '12', 'alpha']
['214', '222', '2', 'alpha']
['214', '222', '3', 'alpha']
['2', '2', '98', 'alpha']
['3', '2', '98', 'alpha']
['4', '2', '98', 'alpha']
['2', '3', '98', 'alpha']
['3', '3', '98', 'alpha']
['4', '3', '98', 'alpha']
['2', '168', '240', 'gamma']
['3', '168', '240', 'gamma']
['4', '168', '240', 'gamma']
['*', '2', '2', 'alpha']
['*', '3', '2', 'alpha']
['*', '4', '2', 'alpha']
['*', '2', '3', 'alpha']
['*', '3', '3', 'alpha']
['*', '4', '3', 'alpha']
['*', '2', '4', 'alpha']
['*', '3', '4', 'alpha']
['*', '4', '4', 'alpha']
['2', '211', '1', 'gamma']
['3', '211', '1', 'gamma']
['4', '211', '1', 'gamma']
['2', '211', '2', 'gamma']
['3', '211', '2', 'gamma']
['4', '211', '2', 'gamma']
['2', '211', '3', 'gamma']
['3', '211', '3', 'gamma']
['4', '211', '3', 'gamma']
['2', '211', '4', 'gamma']
['3', '211', '4', 'gamma']
['4', '211', '4', 'gamma']
['63', '175', '1', 'alpha']
['63', '175', '2', 'alpha']
['63', '175', '3', 'alpha']
['2', '208', '1', 'beta']
['3', '208', '1', 'beta']
['2', '208', '2', 'beta']
['3', '208', '2', 'beta']
['2', '208', '3', 'beta']
['3', '208', '3', 'beta']
['2', '208', '4', 'beta']
['3', '208', '4', 'beta']
['1', '179', '123', 'alpha']
['2', '179', '123', 'alpha']
['3', '179', '123', 'alpha']
['1', '1', '110', 'alpha']
['2', '1', '110', 'alpha']
['3', '1', '110', 'alpha']
['1', '2', '110', 'alpha']
['2', '2', '110', 'alpha']
['3', '2', '110', 'alpha']
['1', '3', '110', 'alpha']
['2', '3', '110', 'alpha']
['3', '3', '110', 'alpha']
['1', '4', '110', 'alpha']
['2', '4', '110', 'alpha']
['3', '4', '110', 'alpha']
['2', '86', '2', 'alpha']
['3', '86', '2', 'alpha']
['2', '86', '3', 'alpha']
['3', '86', '3', 'alpha']
['1', '36', '114', 'alpha']
['36', '*', '2', 'alpha']
['36', '*', '3', 'alpha']
['36', '*', '4', 'alpha']
['1', '1', '246', 'gamma']
['2', '1', '246', 'gamma']
['3', '1', '246', 'gamma']
['1', '2', '246', 'gamma']
['2', '2', '246', 'gamma']
['3', '2', '246', 'gamma']
['1', '3', '246', 'gamma']
['2', '3', '246', 'gamma']
['3', '3', '246', 'gamma']
['2', '1', '8', 'gamma']
['3', '1', '8', 'gamma']
['4', '1', '8', 'gamma']
['2', '2', '8', 'gamma']
['3', '2', '8', 'gamma']
['4', '2', '8', 'gamma']
['2', '3', '8', 'gamma']
['3', '3', '8', 'gamma']
['4', '3', '8', 'gamma']
['2', '4', '8', 'gamma']
['3', '4', '8', 'gamma']
['4', '4', '8', 'gamma']
['128', '2', '*', 'alpha']
['128', '3', '*', 'alpha']
['1', '*', '206', 'gamma']
['2', '*', '206', 'gamma']
['3', '*', '206', 'gamma']
['13', '111', '171', 'alpha']
['23', '164', '42', 'gamma']
['21', '66', '103', 'gamma']
['1', '1', '2', 'gamma']
['2', '1', '2', 'gamma']
['3', '1', '2', 'gamma']
['1', '2', '2', 'gamma']
['2', '2', '2', 'gamma']
['3', '2', '2', 'gamma']
['1', '3', '2', 'gamma']
['2', '3', '2', 'gamma']
['3', '3', '2', 'gamma']
['1', '1', '3', 'gamma']
['2', '1', '3', 'gamma']
['3', '1', '3', 'gamma']
['1', '2', '3', 'gamma']
['2', '2', '3', 'gamma']
['3', '2', '3', 'gamma']
['1', '3', '3', 'gamma']
['2', '3', '3', 'gamma']
['3', '3', '3', 'gamma']
['1', '1', '4', 'gamma']
['2', '1', '4', 'gamma']
['3', '1', '4', 'gamma']
['1', '2', '4', 'gamma']
['2', '2', '4', 'gamma']
['3', '2', '4', 'gamma']
['1', '3', '4', 'gamma']
['2', '3', '4', 'gamma']
['3', '3', '4', 'gamma']
['1', '17', '2', 'alpha']
['2', '17', '2', 'alpha']
['3', '17', '2', 'alpha']
['4', '17', '2', 'alpha']
['1', '17', '3', 'alpha']
['2', '17', '3', 'alpha']
['3', '17', '3', 'alpha']
['4', '17', '3', 'alpha']
['1', '17', '4', 'alpha']
['2', '17', '4', 'alpha']
['3', '17', '4', 'alpha']
['4', '17', '4', 'alpha']
['42', '33', '2', 'alpha']
['42', '33', '3', 'alpha']
['208', '1', '7', 'gamma']
['208', '2', '7', 'gamma']
['208', '3', '7', 'gamma']
['222', '2', '*', 'gamma']
['222', '3', '*', 'gamma']
['2', '130', '2', 'gamma']
['3', '130', '2', 'gamma']
['2', '130', '3', 'gamma']
['3', '130', '3', 'gamma']
['2', '130', '4', 'gamma']
['3', '130', '4', 'gamma']
['1', '1', '2', 'gamma']
['2', '1', '2', 'gamma']
['3', '1', '2', 'gamma']
['1', '2', '2', 'gamma']
['2', '2', '2', 'gamma']
['3', '2', '2', 'gamma']
['1', '3', '2', 'gamma']
['2', '3', '2', 'gamma']
['3', '3', '2', 'gamma']
['1', '4', '2', 'gamma']
['2', '4', '2', 'gamma']
['3', '4', '2', 'gamma']
['1', '1', '3', 'gamma']
['2', '1', '3', 'gamma']
['3', '1', '3', 'gamma']
['1', '2', '3', 'gamma']
['2', '2', '3', 'gamma']
['3', '2', '3', 'gamma']
['1', '3', '3', 'gamma']
['2', '3', '3', 'gamma']
['3', '3', '3', 'gamma']
['1', '4', '3', 'gamma']
['2', '4', '3', 'gamma']
['3', '4', '3', 'gamma']
['2', '34', '240', 'alpha']
['3', '34', '240', 'alpha']
['189', '2', '112', 'alpha']
['189', '3', '112', 'alpha']
['2', '2', '243', 'alpha']
['3', '2', '243', 'alpha']
['2', '3', '243', 'alpha']
['3', '3', '243', 'alpha']
['2', '4', '243', 'alpha']
['3', '4', '243', 'alpha']
['1', '160', '2', 'gamma']
['2', '160', '2', 'gamma']
['3', '160', '2', 'gamma']
['1', '160', '3', 'gamma']
['2', '160', '3', 'gamma']
['3', '160', '3', 'gamma']
['1', '160', '4', 'gamma']
['2', '160', '4', 'gamma']
['3', '160', '4', 'gamma']
['1', '2', '1', 'alpha']
['2', '2', '1', 'alpha']
['3', '2', '1', 'alpha']
['1', '3', '1', 'alpha']
['2', '3', '1', 'alpha']
['3', '3', '1', 'alpha']
['1', '4', '1', 'alpha']
['2', '4', '1', 'alpha']
['3', '4', '1', 'alpha']
['1', '2', '2', 'alpha']
['2', '2', '2', 'alpha']
['3', '2', '2', 'alpha']
['1', '3', '2', 'alpha']
['2', '3', '2', 'alpha']
['3', '3', '2', 'alpha']
['1', '4', '2', 'alpha']
['2', '4', '2', 'alpha']
['3', '4', '2', 'alpha']
['1', '2', '3', 'alpha']
['2', '2', '3', 'alpha']
['3', '2', '3', 'alpha']
['1', '3', '3', 'alpha']
['2', '3', '3', 'alpha']
['3', '3', '3', 'alpha']
['1', '4', '3', 'alpha']
['2', '4', '3', 'alpha']
['3', '4', '3', 'alpha']
['*', '*', '224', 'gamma']
['19', '2', '2', 'gamma']
['19', '3', '2', 'gamma']
['19', '2', '3', 'gamma']
['19', '3', '3', 'gamma']
['79', '111', '132', 'alpha']
['1', '2', '48', 'alpha']
['2', '2', '48', 'alpha']
['3', '2', '48', 'alpha']
['1', '3', '48', 'alpha']
['2', '3', '48', 'alpha']
['3', '3', '48', 'alpha']
['1', '2', '2', 'gamma']
['2', '2', '2', 'gamma']
['3', '2', '2', 'gamma']
['4', '2', '2', 'gamma']
['1', '3', '2', 'gamma']
['2', '3', '2', 'gamma']
['3', '3', '2', 'gamma']
['4', '3', '2', 'gamma']
['1', '4', '2', 'gamma']
['2', '4', '2', 'gamma']
['3', '4', '2', 'gamma']
['4', '4', '2', 'gamma']
['1', '2', '3', 'gamma']
['2', '2', '3', 'gamma']
['3', '2', '3', 'gamma']
['4', '2', '3', 'gamma']
['1', '3', '3', 'gamma']
['2', '3', '3', 'gamma']
['3', '3', '3', 'gamma']
['4', '3', '3', 'gamma']
['1', '4', '3', 'gamma']
['2', '4', '3', 'gamma']
['3', '4', '3', 'gamma']
['4', '4', '3', 'gamma']
['1', '2', '4', 'gamma']
['2', '2', '4', 'gamma']
['3', '2', '4', 'gamma']
['4', '2', '4', 'gamma']
['1', '3', '4', 'gamma']
['2', '3', '4', 'gamma']
['3', '3', '4', 'gamma']
['4', '3', '4', 'gamma']
['1', '4', '4', 'gamma']
['2', '4', '4', 'gamma']
['3', '4', '4', 'gamma']
['4', '4', '4', 'gamma']
['184', '180', '64', 'alpha']
['230', '1', '114', 'beta']
['230', '2', '114', 'beta']
['230', '3', '114', 'beta']
['2', '101', '1', 'alpha']
['3', '101', '1', 'alpha']
['2', '101', '2', 'alpha']
['3', '101', '2', 'alpha']
['2', '101', '3', 'alpha']
['3', '101', '3', 'alpha']
['117', '2', '43', 'alpha']
['117', '3', '43', 'alpha']
['117', '4', '43', 'alpha']
['150', '1', '127', 'gamma']
['150', '2', '127', 'gamma']
['150', '3', '127', 'gamma']
['109', '234', '240', 'gamma']
['87', '46', '2', 'alpha']
['87', '46', '3', 'alpha']
['87', '46', '4', 'alpha']
['2', '2', '230', 'alpha']
['3', '2', '230', 'alpha']
['2', '3', '230', 'alpha']
['3', '3', '230', 'alpha']
['2', '4', '230', 'alpha']
['3', '4', '230', 'alpha']
['2', '25', '163', 'beta']
['3', '25', '163', 'beta']
['186', '185', '164', 'gamma']
['2', '15', '11', 'beta']
['3', '15', '11', 'beta']
['109', '2', '3', 'gamma']
['109', '3', '3', 'gamma']
['165', '1', '2', 'gamma']
['165', '2', '2', 'gamma']
['165', '3', '2', 'gamma']
['165', '4', '2', 'gamma']
['165', '1', '3', 'gamma']
['165', '2', '3', 'gamma']
['165', '3', '3', 'gamma']
['165', '4', '3', 'gamma']
['165', '1', '4', 'gamma']
['165', '2', '4', 'gamma']
['165', '3', '4', 'gamma']
['165', '4', '4', 'gamma']
['109', '43', '121', 'beta']
['*', '178', '139', 'alpha']
['72', '204', '132', 'beta']
['1', '248', '125', 'gamma']
['2', '248', '125', 'gamma']
['3', '248', '125', 'gamma']
['1', '61', '225', 'beta']
['2', '61', '225', 'beta']
['3', '61', '225', 'beta']
['2', '239', '1', 'alpha']
['3', '239', '1', 'alpha']
['2', '239', '2', 'alpha']
['3', '239', '2', 'alpha']
['2', '239', '3', 'alpha']
['3', '239', '3', 'alpha']
['2', '239', '4', 'alpha']
['3', '239', '4', 'alpha']
['1', '118', '2', 'beta']
['2', '118', '2', 'beta']
['3', '118', '2', 'beta']
['4', '118', '2', 'beta']
['1', '118', '3', 'beta']
['2', '118', '3', 'beta']
['3', '118', '3', 'beta']
['4', '118', '3', 'beta']
['1', '118', '4', 'beta']
['2', '118', '4', 'beta']
['3', '118', '4', 'beta']
['4', '118', '4', 'beta']
['171', '1', '31', 'beta']
['171', '2', '31', 'beta']
['171', '3', '31', 'beta']
['171', '4', '31', 'beta']
['2', '2', '1', 'alpha']
['3', '2', '1', 'alpha']
['4', '2', '1', 'alpha']
['2', '3', '1', 'alpha']
['3', '3', '1', 'alpha']
['4', '3', '1', 'alpha']
['2', '2', '2', 'alpha']
['3', '2', '2', 'alpha']
['4', '2', '2', 'alpha']
['2', '3', '2', 'alpha']
['3', '3', '2', 'alpha']
['4', '3', '2', 'alpha']
['2', '2', '3', 'alpha']
['3', '2', '3', 'alpha']
['4', '2', '3', 'alpha']
['2', '3', '3', 'alpha']
['3', '3', '3', 'alpha']
['4', '3', '3', 'alpha']
['204', '118', '135', 'beta']
['2', '50', '179', 'alpha']
['3', '50', '179', 'alpha']
['2', '2', '57', 'beta']
['3', '2', '57', 'beta']
['4', '2', '57', 'beta']
['2', '3', '57', 'beta']
['3', '3', '57', 'beta']
['4', '3', '57', 'beta']
['*', '197', '72', 'alpha']
['199', '1', '141', 'gamma']
['199', '2', '141', 'gamma']
['199', '3', '141', 'gamma']
['199', '4', '141', 'gamma']
['218', '83', '1', 'beta']
['218', '83', '2', 'beta']
['218', '83', '3', 'beta']
['218', '83', '4', 'beta']
['132', '2', '1', 'gamma']
['132', '3', '1', 'gamma']
['132', '2', '2', 'gamma']
['132', '3', '2', 'gamma']
['132', '2', '3', 'gamma']
['132', '3', '3', 'gamma']
['1', '249', '224', 'alpha']
['2', '249', '224', 'alpha']
['3', '249', '224', 'alpha']
['82', '2', '2', 'gamma']
['82', '3', '2', 'gamma']
['82', '4', '2', 'gamma']
['82', '2', '3', 'gamma']
['82', '3', '3', 'gamma']
['82', '4', '3', 'gamma']
['58', '190', '*', 'alpha']
['43', '109', '2', 'beta']
['43', '109', '3', 'beta']
['129', '61', '2', 'alpha']
['129', '61', '3', 'alpha']
['129', '61', '4', 'alpha']
['2', '1', '2', 'beta']
['3', '1', '2', 'beta']
['2', '2', '2', 'beta']
['3', '2', '2', 'beta']
['2', '3', '2', 'beta']
['3', '3', '2', 'beta']
['2', '1', '3', 'beta']
['3', '1', '3', 'beta']
['2', '2', '3', 'beta']
['3', '2', '3', 'beta']
['2', '3', '3', 'beta']
['3', '3', '3', 'beta']
['2', '1', '4', 'beta']
['3', '1', '4', 'beta']
['2', '2', '4', 'beta']
['3', '2', '4', 'beta']
['2', '3', '4', 'beta']
['3', '3', '4', 'beta']
['103', '2', '1', 'alpha']
['103', '3', '1', 'alpha']
['103', '2', '2', 'alpha']
['103', '3', '2', 'alpha']
['103', '2', '3', 'alpha']
['103', '3', '3', 'alpha']
['*', '*', '*', 'delta']
