['1', '3', '3', 'hotel'] 100001010101100101111000001100111000110111010110 : '
['5', '9', '4', 'hotel'] 111110111011010010011101100001000110000001101101 : '
['6', '9', '4', 'hotel'] 101001100001111110011101100001000110000001101101 : '
['7', '9', '4', 'hotel'] 011111101111110110011101100001000110000001101101 : '
['8', '9', '4', 'hotel'] 001101111101001110011101100001000110000001101101 : '
['9', '9', '4', 'hotel'] 000101001000100110011101100001000110000001101101 : '
['10', '9', '4', 'hotel'] 001011100010110010011101100001000110000001101101 : '
['0', '10', '4', 'hotel'] 010010011111101010110101011011100110000001101101 : '
['1', '10', '4', 'hotel'] 100001010101100110110101011011100110000001101101 : '
['2', '10', '4', 'hotel'] 100100000000000010110101011011100110000001101101 : '
['3', '10', '4', 'hotel'] 000001101000000110110101011011100110000001101101 : '
['4', '10', '4', 'hotel'] 000000000001000110110101011011100110000001101101 : '
['5', '10', '4', 'hotel'] 111110111011010010110101011011100110000001101101 : '
['6', '10', '4', 'hotel'] 101001100001111110110101011011100110000001101101 : '
['7', '10', '4', 'hotel'] 011111101111110110110101011011100110000001101101 : '
['8', '10', '4', 'hotel'] 001101111101001110110101011011100110000001101101 : '
['9', '10', '4', 'hotel'] 000101001000100110110101011011100110000001101101 : '
['10', '10', '4', 'hotel'] 001011100010110010110101011011100110000001101101 : '
['0', '11', '4', 'hotel'] 010010011111101010111000011110110110000001101101 : '
['1', '11', '4', 'hotel'] 100001010101100110111000011110110110000001101101 : '
['2', '11', '4', 'hotel'] 100100000000000010111000011110110110000001101101 : '
['3', '11', '4', 'hotel'] 000001101000000110111000011110110110000001101101 : '
['4', '11', '4', 'hotel'] 000000000001000110111000011110110110000001101101 : '
['5', '11', '4', 'hotel'] 111110111011010010111000011110110110000001101101 : '
['6', '11', '4', 'hotel'] 101001100001111110111000011110110110000001101101 : '
['7', '11', '4', 'hotel'] 011111101111110110111000011110110110000001101101 : '
['8', '11', '4', 'hotel'] 001101111101001110111000011110110110000001101101 : '
['9', '11', '4', 'hotel'] 000101001000100110111000011110110110000001101101 : '
['10', '11', '4', 'hotel'] 001011100010110010111000011110110110000001101101 : '
['0', '3', '5', 'hotel'] 010010011111101001111000001100111001111101000110 : '
['1', '3', '5', 'hotel'] 100001010101100101111000001100111001111101000110 : '
['2', '3', '5', 'hotel'] 100100000000000001111000001100111001111101000110 : '
['3', '3', '5', 'hotel'] 000001101000000101111000001100111001111101000110 : '
['4', '3', '5', 'hotel'] 000000000001000101111000001100111001111101000110 : '
['5', '3', '5', 'hotel'] 111110111011010001111000001100111001111101000110 : '
['6', '3', '5', 'hotel'] 101001100001111101111000001100111001111101000110 : '
['7', '3', '5', 'hotel'] 011111101111110101111000001100111001111101000110 : '
['8', '3', '5', 'hotel'] 001101111101001101111000001100111001111101000110 : '
['9', '3', '5', 'hotel'] 000101001000100101111000001100111001111101000110 : '
['10', '3', '5', 'hotel'] 001011100010110001111000001100111001111101000110 : '
['0', '4', '5', 'hotel'] 010010011111101001101111110110011001111101000110 : '
['1', '4', '5', 'hotel'] 100001010101100101101111110110011001111101000110 : '
['2', '4', '5', 'hotel'] 100100000000000001101111110110011001111101000110 : '
['3', '4', '5', 'hotel'] 000001101000000101101111110110011001111101000110 : '
['4', '4', '5', 'hotel'] 000000000001000101101111110110011001111101000110 : '
['5', '4', '5', 'hotel'] 111110111011010001101111110110011001111101000110 : '
['6', '4', '5', 'hotel'] 101001100001111101101111110110011001111101000110 : '
['7', '4', '5', 'hotel'] 011111101111110101101111110110011001111101000110 : '
['8', '4', '5', 'hotel'] 001101111101001101101111110110011001111101000110 : '
['9', '4', '5', 'hotel'] 000101001000100101101111110110011001111101000110 : '
['10', '4', '5', 'hotel'] 001011100010110001101111110110011001111101000110 : '
['0', '5', '5', 'hotel'] 010010011111101010110001110011101001111101000110 : '
['1', '5', '5', 'hotel'] 100001010101100110110001110011101001111101000110 : '
['2', '5', '5', 'hotel'] 100100000000000010110001110011101001111101000110 : '
['3', '5', '5', 'hotel'] 000001101000000110110001110011101001111101000110 : '
['4', '5', '5', 'hotel'] 000000000001000110110001110011101001111101000110 : '
['5', '5', '5', 'hotel'] 111110111011010010110001110011101001111101000110 : '
['6', '5', '5', 'hotel'] 101001100001111110110001110011101001111101000110 : '
['7', '5', '5', 'hotel'] 011111101111110110110001110011101001111101000110 : '
['8', '5', '5', 'hotel'] 001101111101001110110001110011101001111101000110 : '
['9', '5', '5', 'hotel'] 000101001000100110110001110011101001111101000110 : '
['10', '5', '5', 'hotel'] 001011100010110010110001110011101001111101000110 : '
['0', '6', '5', 'hotel'] 010010011111101010100100101111011001111101000110 : '
['1', '6', '5', 'hotel'] 100001010101100110100100101111011001111101000110 : '
['2', '6', '5', 'hotel'] 100100000000000010100100101111011001111101000110 : '
['3', '6', '5', 'hotel'] 000001101000000110100100101111011001111101000110 : '
['4', '6', '5', 'hotel'] 000000000001000110100100101111011001111101000110 : '
['5', '6', '5', 'hotel'] 111110111011010010100100101111011001111101000110 : '
['6', '6', '5', 'hotel'] 101001100001111110100100101111011001111101000110 : '
['7', '6', '5', 'hotel'] 011111101111110110100100101111011001111101000110 : '
['8', '6', '5', 'hotel'] 001101111101001110100100101111011001111101000110 : '
['9', '6', '5', 'hotel'] 000101001000100110100100101111011001111101000110 : '
['10', '6', '5', 'hotel'] 001011100010110010100100101111011001111101000110 : '
['0', '7', '5', 'hotel'] 010010011111101001110001001001111001111101000110 : '
['1', '7', '5', 'hotel'] 100001010101100101110001001001111001111101000110 : '
['2', '7', '5', 'hotel'] 100100000000000001110001001001111001111101000110 : '
['3', '7', '5', 'hotel'] 000001101000000101110001001001111001111101000110 : '
['4', '7', '5', 'hotel'] 000000000001000101110001001001111001111101000110 : '
['5', '7', '5', 'hotel'] 111110111011010001110001001001111001111101000110 : '
['6', '7', '5', 'hotel'] 101001100001111101110001001001111001111101000110 : '
['7', '7', '5', 'hotel'] 011111101111110101110001001001111001111101000110 : '
['8', '7', '5', 'hotel'] 001101111101001101110001001001111001111101000110 : '
['9', '7', '5', 'hotel'] 000101001000100101110001001001111001111101000110 : '
['10', '7', '5', 'hotel'] 001011100010110001110001001001111001111101000110 : '
['0', '8', '5', 'hotel'] 010010011111101011110011011001011001111101000110 : '
['1', '8', '5', 'hotel'] 100001010101100111110011011001011001111101000110 : '
['2', '8', '5', 'hotel'] 100100000000000011110011011001011001111101000110 : '
['3', '8', '5', 'hotel'] 000001101000000111110011011001011001111101000110 : '
['4', '8', '5', 'hotel'] 000000000001000111110011011001011001111101000110 : '
['5', '8', '5', 'hotel'] 111110111011010011110011011001011001111101000110 : '
['6', '8', '5', 'hotel'] 101001100001111111110011011001011001111101000110 : '
['7', '8', '5', 'hotel'] 011111101111110111110011011001011001111101000110 : '
['8', '8', '5', 'hotel'] 001101111101001111110011011001011001111101000110 : '
['9', '8', '5', 'hotel'] 000101001000100111110011011001011001111101000110 : '
['10', '8', '5', 'hotel'] 001011100010110011110011011001011001111101000110 : '
['0', '9', '5', 'hotel'] 010010011111101010011101100001001001111101000110 : '
['1', '9', '5', 'hotel'] 100001010101100110011101100001001001111101000110 : '
['2', '9', '5', 'hotel'] 100100000000000010011101100001001001111101000110 : '
['3', '9', '5', 'hotel'] 000001101000000110011101100001001001111101000110 : '
['4', '9', '5', 'hotel'] 000000000001000110011101100001001001111101000110 : '
['5', '9', '5', 'hotel'] 111110111011010010011101100001001001111101000110 : '
['6', '9', '5', 'hotel'] 101001100001111110011101100001001001111101000110 : '
['7', '9', '5', 'hotel'] 011111101111110110011101100001001001111101000110 : '
['8', '9', '5', 'hotel'] 001101111101001110011101100001001001111101000110 : '
['9', '9', '5', 'hotel'] 000101001000100110011101100001001001111101000110 : '
['10', '9', '5', 'hotel'] 001011100010110010011101100001001001111101000110 : '
['0', '10', '5', 'hotel'] 010010011111101010110101011011101001111101000110 : '
['1', '10', '5', 'hotel'] 100001010101100110110101011011101001111101000110 : '
['2', '10', '5', 'hotel'] 100100000000000010110101011011101001111101000110 : '
['3', '10', '5', 'hotel'] 000001101000000110110101011011101001111101000110 : '
['4', '10', '5', 'hotel'] 000000000001000110110101011011101001111101000110 : '
['5', '10', '5', 'hotel'] 111110111011010010110101011011101001111101000110 : '
['6', '10', '5', 'hotel'] 101001100001111110110101011011101001111101000110 : '
['7', '10', '5', 'hotel'] 011111101111110110110101011011101001111101000110 : '
['8', '10', '5', 'hotel'] 001101111101001110110101011011101001111101000110 : '
['9', '10', '5', 'hotel'] 000101001000100110110101011011101001111101000110 : '
['10', '10', '5', 'hotel'] 001011100010110010110101011011101001111101000110 : '
['0', '11', '5', 'hotel'] 010010011111101010111000011110111001111101000110 : '
['1', '11', '5', 'hotel'] 100001010101100110111000011110111001111101000110 : '
['2', '11', '5', 'hotel'] 100100000000000010111000011110111001111101000110 : '
['3', '11', '5', 'hotel'] 000001101000000110111000011110111001111101000110 : '
['4', '11', '5', 'hotel'] 000000000001000110111000011110111001111101000110 : '
['5', '11', '5', 'hotel'] 111110111011010010111000011110111001111101000110 : '
['6', '11', '5', 'hotel'] 101001100001111110111000011110111001111101000110 : '
['7', '11', '5', 'hotel'] 011111101111110110111000011110111001111101000110 : '
['8', '11', '5', 'hotel'] 001101111101001110111000011110111001111101000110 : '
['9', '11', '5', 'hotel'] 000101001000100110111000011110111001111101000110 : '
['10', '11', '5', 'hotel'] 001011100010110010111000011110111001111101000110 : '
['0', '3', '6', 'hotel'] 010010011111101001111000001100110100101100001111 : '
['1', '3', '6', 'hotel'] 100001010101100101111000001100110100101100001111 : '
['2', '3', '6', 'hotel'] 100100000000000001111000001100110100101100001111 : '
['3', '3', '6', 'hotel'] 000001101000000101111000001100110100101100001111 : '
['4', '3', '6', 'hotel'] 000000000001000101111000001100110100101100001111 : '
['5', '3', '6', 'hotel'] 111110111011010001111000001100110100101100001111 : '
['6', '3', '6', 'hotel'] 101001100001111101111000001100110100101100001111 : '
['7', '3', '6', 'hotel'] 011111101111110101111000001100110100101100001111 : '
['8', '3', '6', 'hotel'] 001101111101001101111000001100110100101100001111 : '
['9', '3', '6', 'hotel'] 000101001000100101111000001100110100101100001111 : '
['10', '3', '6', 'hotel'] 001011100010110001111000001100110100101100001111 : '
['0', '4', '6', 'hotel'] 010010011111101001101111110110010100101100001111 : '
['1', '4', '6', 'hotel'] 100001010101100101101111110110010100101100001111 : '
['2', '4', '6', 'hotel'] 100100000000000001101111110110010100101100001111 : '
['3', '4', '6', 'hotel'] 000001101000000101101111110110010100101100001111 : '
['4', '4', '6', 'hotel'] 000000000001000101101111110110010100101100001111 : '
['5', '4', '6', 'hotel'] 111110111011010001101111110110010100101100001111 : '
['6', '4', '6', 'hotel'] 101001100001111101101111110110010100101100001111 : '
['7', '4', '6', 'hotel'] 011111101111110101101111110110010100101100001111 : '
['8', '4', '6', 'hotel'] 001101111101001101101111110110010100101100001111 : '
['9', '4', '6', 'hotel'] 000101001000100101101111110110010100101100001111 : '
['10', '4', '6', 'hotel'] 001011100010110001101111110110010100101100001111 : '
['0', '5', '6', 'hotel'] 010010011111101010110001110011100100101100001111 : '
['1', '5', '6', 'hotel'] 100001010101100110110001110011100100101100001111 : '
['2', '5', '6', 'hotel'] 100100000000000010110001110011100100101100001111 : '
['3', '5', '6', 'hotel'] 000001101000000110110001110011100100101100001111 : '
['4', '5', '6', 'hotel'] 000000000001000110110001110011100100101100001111 : '
['5', '5', '6', 'hotel'] 111110111011010010110001110011100100101100001111 : '
['6', '5', '6', 'hotel'] 101001100001111110110001110011100100101100001111 : '
['7', '5', '6', 'hotel'] 011111101111110110110001110011100100101100001111 : '
['8', '5', '6', 'hotel'] 001101111101001110110001110011100100101100001111 : '
['9', '5', '6', 'hotel'] 000101001000100110110001110011100100101100001111 : '
['10', '5', '6', 'hotel'] 001011100010110010110001110011100100101100001111 : '
['0', '6', '6', 'hotel'] 010010011111101010100100101111010100101100001111 : '
['1', '6', '6', 'hotel'] 100001010101100110100100101111010100101100001111 : '
['2', '6', '6', 'hotel'] 100100000000000010100100101111010100101100001111 : '
['3', '6', '6', 'hotel'] 000001101000000110100100101111010100101100001111 : '
['4', '6', '6', 'hotel'] 000000000001000110100100101111010100101100001111 : '
['5', '6', '6', 'hotel'] 111110111011010010100100101111010100101100001111 : '
['6', '6', '6', 'hotel'] 101001100001111110100100101111010100101100001111 : '
['7', '6', '6', 'hotel'] 011111101111110110100100101111010100101100001111 : '
['8', '6', '6', 'hotel'] 001101111101001110100100101111010100101100001111 : '
['9', '6', '6', 'hotel'] 000101001000100110100100101111010100101100001111 : '
['10', '6', '6', 'hotel'] 001011100010110010100100101111010100101100001111 : '
['0', '7', '6', 'hotel'] 010010011111101001110001001001110100101100001111 : '
['1', '7', '6', 'hotel'] 100001010101100101110001001001110100101100001111 : '
['2', '7', '6', 'hotel'] 100100000000000001110001001001110100101100001111 : '
['3', '7', '6', 'hotel'] 000001101000000101110001001001110100101100001111 : '
['4', '7', '6', 'hotel'] 000000000001000101110001001001110100101100001111 : '
['5', '7', '6', 'hotel'] 111110111011010001110001001001110100101100001111 : '
['6', '7', '6', 'hotel'] 101001100001111101110001001001110100101100001111 : '
['7', '7', '6', 'hotel'] 011111101111110101110001001001110100101100001111 : '
['8', '7', '6', 'hotel'] 001101111101001101110001001001110100101100001111 : '
['9', '7', '6', 'hotel'] 000101001000100101110001001001110100101100001111 : '
['10', '7', '6', 'hotel'] 001011100010110001110001001001110100101100001111 : '
['0', '8', '6', 'hotel'] 010010011111101011110011011001010100101100001111 : '
['1', '8', '6', 'hotel'] 100001010101100111110011011001010100101100001111 : '
['2', '8', '6', 'hotel'] 100100000000000011110011011001010100101100001111 : '
['3', '8', '6', 'hotel'] 000001101000000111110011011001010100101100001111 : '
['4', '8', '6', 'hotel'] 000000000001000111110011011001010100101100001111 : '
['5', '8', '6', 'hotel'] 111110111011010011110011011001010100101100001111 : '
['6', '8', '6', 'hotel'] 101001100001111111110011011001010100101100001111 : '
['7', '8', '6', 'hotel'] 011111101111110111110011011001010100101100001111 : '
['8', '8', '6', 'hotel'] 001101111101001111110011011001010100101100001111 : '
['9', '8', '6', 'hotel'] 000101001000100111110011011001010100101100001111 : '
['10', '8', '6', 'hotel'] 001011100010110011110011011001010100101100001111 : '
['0', '9', '6', 'hotel'] 010010011111101010011101100001000100101100001111 : '
['1', '9', '6', 'hotel'] 100001010101100110011101100001000100101100001111 : '
['2', '9', '6', 'hotel'] 100100000000000010011101100001000100101100001111 : '
['3', '9', '6', 'hotel'] 000001101000000110011101100001000100101100001111 : '
['4', '9', '6', 'hotel'] 000000000001000110011101100001000100101100001111 : '
['5', '9', '6', 'hotel'] 111110111011010010011101100001000100101100001111 : '
['6', '9', '6', 'hotel'] 101001100001111110011101100001000100101100001111 : '
['7', '9', '6', 'hotel'] 011111101111110110011101100001000100101100001111 : '
['8', '9', '6', 'hotel'] 001101111101001110011101100001000100101100001111 : '
['9', '9', '6', 'hotel'] 000101001000100110011101100001000100101100001111 : '
['10', '9', '6', 'hotel'] 001011100010110010011101100001000100101100001111 : '
['0', '10', '6', 'hotel'] 010010011111101010110101011011100100101100001111 : '
['1', '10', '6', 'hotel'] 100001010101100110110101011011100100101100001111 : '
['2', '10', '6', 'hotel'] 100100000000000010110101011011100100101100001111 : '
['3', '10', '6', 'hotel'] 000001101000000110110101011011100100101100001111 : '
