['0', '*', '*', 'beta'] : 000011001110001101110101101000010101011001101100
['4', '*', '2', 'alpha'] : 010110000101111101110101101000011001010111101001
['2', '*', '3', 'alpha'] : 000001101010011001110101101000011110110011101100
['3', '*', '3', 'alpha'] : 011100101100000101110101101000011110110011101100
['4', '*', '3', 'alpha'] : 010110000101111101110101101000011110110011101100
['2', '*', '4', 'alpha'] : 000001101010011001110101101000011111011010000100
['3', '*', '4', 'alpha'] : 011100101100000101110101101000011111011010000100
['4', '*', '4', 'alpha'] : 010110000101111101110101101000011111011010000100
['2', '7', '*', 'beta'] : 000001101010011000010000101111100101011001101100
['3', '7', '*', 'beta'] : 011100101100000100010000101111100101011001101100
['4', '7', '*', 'beta'] : 010110000101111100010000101111100101011001101100
['1', '*', '2', 'gamma'] : 010001010101111001110101101000011001010111101001
['1', '*', '3', 'gamma'] : 010001010101111001110101101000011110110011101100
['1', '*', '4', 'gamma'] : 010001010101111001110101101000011111011010000100
['10', '2', '20', 'alpha'] : 010000111011101000111110101011101100000100000010
['10', '3', '20', 'alpha'] : 010000111011101001101101110110101100000100000010
['10', '4', '20', 'alpha'] : 010000111011101010100111110000001100000100000010
['1', '*', '19', 'alpha'] : 010001010101111001110101101000011110101100110001
['2', '*', '19', 'alpha'] : 000001101010011001110101101000011110101100110001
['3', '*', '19', 'alpha'] : 011100101100000101110101101000011110101100110001
['13', '1', '*', 'beta'] : 000110101111011100101111110000110101011001101100
['13', '2', '*', 'beta'] : 000110101111011100111110101011100101011001101100
['13', '3', '*', 'beta'] : 000110101111011101101101110110100101011001101100
['0', '2', '5', 'alpha'] : 000011001110001100111110101011100111101001000110
['0', '3', '5', 'alpha'] : 000011001110001101101101110110100111101001000110
['*', '19', '8', 'alpha'] : 010101001000101010101001111000110111000110010011
['2', '*', '1', 'alpha'] : 000001101010011001110101101000011101101010111111
['15', '2', '1', 'gamma'] : 100110111100001100111110101011101101101010111111
['15', '2', '2', 'gamma'] : 100110111100001100111110101011101001010111101001
['15', '2', '3', 'gamma'] : 100110111100001100111110101011101110110011101100
['4', '5', '*', 'gamma'] : 010110000101111111011110100101110101011001101100
['6', '3', '17', 'gamma'] : 001100001101000001101101110110100111101000110010
['2', '2', '19', 'alpha'] : 000001101010011000111110101011101110101100110001
['3', '2', '19', 'alpha'] : 011100101100000100111110101011101110101100110001
['4', '2', '19', 'alpha'] : 010110000101111100111110101011101110101100110001
['2', '3', '19', 'alpha'] : 000001101010011001101101110110101110101100110001
['3', '3', '19', 'alpha'] : 011100101100000101101101110110101110101100110001
['4', '3', '19', 'alpha'] : 010110000101111101101101110110101110101100110001
['1', '1', '*', 'beta'] : 010001010101111000101111110000110101011001101100
['2', '1', '*', 'beta'] : 000001101010011000101111110000110101011001101100
['3', '1', '*', 'beta'] : 011100101100000100101111110000110101011001101100
['15', '2', '9', 'gamma'] : 100110111100001100111110101011100011100110101001
['15', '3', '9', 'gamma'] : 100110111100001101101101110110100011100110101001
['15', '4', '9', 'gamma'] : 100110111100001110100111110000000011100110101001
['2', '*', '18', 'beta'] : 000001101010011001110101101000010010111001100110
['3', '18', '*', 'beta'] : 011100101100000111111110000010010101011001101100
['11', '*', '1', 'alpha'] : 101100001111010001110101101000011101101010111111
['11', '*', '2', 'alpha'] : 101100001111010001110101101000011001010111101001
['11', '*', '3', 'alpha'] : 101100001111010001110101101000011110110011101100
['*', '9', '7', 'alpha'] : 010101001000101001101101001001000110101110011111
['15', '2', '6', 'alpha'] : 100110111100001100111110101011100111101101101111
['15', '3', '6', 'alpha'] : 100110111100001101101101110110100111101101101111
['2', '10', '15', 'gamma'] : 000001101010011010111100001111001000010110111011
['3', '10', '15', 'gamma'] : 011100101100000110111100001111001000010110111011
['4', '10', '15', 'gamma'] : 010110000101111110111100001111001000010110111011
['*', '2', '2', 'alpha'] : 010101001000101000111110101011101001010111101001
['*', '3', '2', 'alpha'] : 010101001000101001101101110110101001010111101001
['*', '4', '2', 'alpha'] : 010101001000101010100111110000001001010111101001
['*', '2', '3', 'alpha'] : 010101001000101000111110101011101110110011101100
['*', '3', '3', 'alpha'] : 010101001000101001101101110110101110110011101100
['*', '4', '3', 'alpha'] : 010101001000101010100111110000001110110011101100
['*', '2', '4', 'alpha'] : 010101001000101000111110101011101111011010000100
['*', '3', '4', 'alpha'] : 010101001000101001101101110110101111011010000100
['*', '4', '4', 'alpha'] : 010101001000101010100111110000001111011010000100
['2', '13', '*', 'alpha'] : 000001101010011010110100110110000101011001101100
['3', '13', '*', 'alpha'] : 011100101100000110110100110110000101011001101100
['4', '13', '*', 'alpha'] : 010110000101111110110100110110000101011001101100
['10', '1', '20', 'alpha'] : 010000111011101000101111110000111100000100000010
['1', '2', '13', 'gamma'] : 010001010101111000111110101011100000011100000110
['2', '2', '13', 'gamma'] : 000001101010011000111110101011100000011100000110
['3', '2', '13', 'gamma'] : 011100101100000100111110101011100000011100000110
['1', '3', '13', 'gamma'] : 010001010101111001101101110110100000011100000110
['2', '3', '13', 'gamma'] : 000001101010011001101101110110100000011100000110
['3', '3', '13', 'gamma'] : 011100101100000101101101110110100000011100000110
['1', '*', '*', 'alpha'] : 010001010101111001110101101000010101011001101100
['2', '*', '*', 'alpha'] : 000001101010011001110101101000010101011001101100
['3', '*', '*', 'alpha'] : 011100101100000101110101101000010101011001101100
['4', '*', '*', 'alpha'] : 010110000101111101110101101000010101011001101100
['1', '*', '14', 'alpha'] : 010001010101111001110101101000011110011010011011
['2', '*', '14', 'alpha'] : 000001101010011001110101101000011110011010011011
['3', '*', '14', 'alpha'] : 011100101100000101110101101000011110011010011011
['7', '2', '5', 'beta'] : 101001101001010000111110101011100111101001000110
['7', '3', '5', 'beta'] : 101001101001010001101101110110100111101001000110
['20', '6', '0', 'alpha'] : 111100000001011111000100110100101001000101001100
['1', '8', '2', 'beta'] : 010001010101111000111111111000101001010111101001
['3', '15', '2', 'gamma'] : 011100101100000101000100011011011001010111101001
['3', '15', '3', 'gamma'] : 011100101100000101000100011011011110110011101100
['3', '15', '4', 'gamma'] : 011100101100000101000100011011011111011010000100
['1', '0', '1', 'gamma'] : 010001010101111010010101010110001101101010111111
['2', '0', '1', 'gamma'] : 000001101010011010010101010110001101101010111111
['3', '0', '1', 'gamma'] : 011100101100000110010101010110001101101010111111
['4', '0', '1', 'gamma'] : 010110000101111110010101010110001101101010111111
['1', '0', '2', 'gamma'] : 010001010101111010010101010110001001010111101001
['2', '0', '2', 'gamma'] : 000001101010011010010101010110001001010111101001
['3', '0', '2', 'gamma'] : 011100101100000110010101010110001001010111101001
['4', '0', '2', 'gamma'] : 010110000101111110010101010110001001010111101001
['1', '0', '3', 'gamma'] : 010001010101111010010101010110001110110011101100
['2', '0', '3', 'gamma'] : 000001101010011010010101010110001110110011101100
['3', '0', '3', 'gamma'] : 011100101100000110010101010110001110110011101100
['4', '0', '3', 'gamma'] : 010110000101111110010101010110001110110011101100
['1', '0', '4', 'gamma'] : 010001010101111010010101010110001111011010000100
['2', '0', '4', 'gamma'] : 000001101010011010010101010110001111011010000100
['3', '0', '4', 'gamma'] : 011100101100000110010101010110001111011010000100
['4', '0', '4', 'gamma'] : 010110000101111110010101010110001111011010000100
['*', '1', '16', 'gamma'] : 010101001000101000101111110000110100010111010011
['*', '2', '16', 'gamma'] : 010101001000101000111110101011100100010111010011
['*', '3', '16', 'gamma'] : 010101001000101001101101110110100100010111010011
['*', '4', '16', 'gamma'] : 010101001000101010100111110000000100010111010011
['*', '1', '*', 'alpha'] : 010101001000101000101111110000110101011001101100
['*', '2', '*', 'alpha'] : 010101001000101000111110101011100101011001101100
['*', '3', '*', 'alpha'] : 010101001000101001101101110110100101011001101100
['*', '2', '6', 'alpha'] : 010101001000101000111110101011100111101101101111
['*', '3', '6', 'alpha'] : 010101001000101001101101110110100111101101101111
['3', '18', '10', 'beta'] : 011100101100000111111110000010011101111000110011
['18', '1', '2', 'alpha'] : 100101110001100000101111110000111001010111101001
['18', '2', '2', 'alpha'] : 100101110001100000111110101011101001010111101001
['18', '3', '2', 'alpha'] : 100101110001100001101101110110101001010111101001
['6', '1', '1', 'gamma'] : 001100001101000000101111110000111101101010111111
['6', '2', '1', 'gamma'] : 001100001101000000111110101011101101101010111111
['6', '3', '1', 'gamma'] : 001100001101000001101101110110101101101010111111
['6', '1', '2', 'gamma'] : 001100001101000000101111110000111001010111101001
['6', '2', '2', 'gamma'] : 001100001101000000111110101011101001010111101001
['6', '3', '2', 'gamma'] : 001100001101000001101101110110101001010111101001
['6', '1', '3', 'gamma'] : 001100001101000000101111110000111110110011101100
['6', '2', '3', 'gamma'] : 001100001101000000111110101011101110110011101100
['6', '3', '3', 'gamma'] : 001100001101000001101101110110101110110011101100
['17', '18', '1', 'alpha'] : 111101010001011111111110000010011101101010111111
['17', '18', '2', 'alpha'] : 111101010001011111111110000010011001010111101001
['17', '18', '3', 'alpha'] : 111101010001011111111110000010011110110011101100
['17', '18', '4', 'alpha'] : 111101010001011111111110000010011111011010000100
['13', '2', '0', 'alpha'] : 000110101111011100111110101011101001000101001100
['13', '3', '0', 'alpha'] : 000110101111011101101101110110101001000101001100
['13', '4', '0', 'alpha'] : 000110101111011110100111110000001001000101001100
['2', '*', '20', 'alpha'] : 000001101010011001110101101000011100000100000010
['9', '*', '1', 'alpha'] : 001010111100011101110101101000011101101010111111
['9', '*', '2', 'alpha'] : 001010111100011101110101101000011001010111101001
['9', '*', '3', 'alpha'] : 001010111100011101110101101000011110110011101100
['13', '2', '17', 'gamma'] : 000110101111011100111110101011100111101000110010
['13', '3', '17', 'gamma'] : 000110101111011101101101110110100111101000110010
['19', '8', '1', 'gamma'] : 101111000000010000111111111000101101101010111111
['19', '8', '2', 'gamma'] : 101111000000010000111111111000101001010111101001
['19', '8', '3', 'gamma'] : 101111000000010000111111111000101110110011101100
['18', '20', '2', 'gamma'] : 100101110001100001010110010010001001010111101001
['18', '20', '3', 'gamma'] : 100101110001100001010110010010001110110011101100
['2', '2', '18', 'beta'] : 000001101010011000111110101011100010111001100110
['3', '2', '18', 'beta'] : 011100101100000100111110101011100010111001100110
['2', '13', '1', 'alpha'] : 000001101010011010110100110110001101101010111111
['2', '13', '2', 'alpha'] : 000001101010011010110100110110001001010111101001
['2', '13', '3', 'alpha'] : 000001101010011010110100110110001110110011101100
['9', '1', '9', 'gamma'] : 001010111100011100101111110000110011100110101001
['9', '2', '9', 'gamma'] : 001010111100011100111110101011100011100110101001
['9', '3', '9', 'gamma'] : 001010111100011101101101110110100011100110101001
['9', '4', '9', 'gamma'] : 001010111100011110100111110000000011100110101001
['*', '19', '1', 'alpha'] : 010101001000101010101001111000111101101010111111
['*', '19', '2', 'alpha'] : 010101001000101010101001111000111001010111101001
['*', '19', '3', 'alpha'] : 010101001000101010101001111000111110110011101100
['2', '17', '1', 'gamma'] : 000001101010011001100101111010101101101010111111
['3', '17', '1', 'gamma'] : 011100101100000101100101111010101101101010111111
['4', '17', '1', 'gamma'] : 010110000101111101100101111010101101101010111111
['2', '17', '2', 'gamma'] : 000001101010011001100101111010101001010111101001
['3', '17', '2', 'gamma'] : 011100101100000101100101111010101001010111101001
['4', '17', '2', 'gamma'] : 010110000101111101100101111010101001010111101001
['2', '17', '3', 'gamma'] : 000001101010011001100101111010101110110011101100
['3', '17', '3', 'gamma'] : 011100101100000101100101111010101110110011101100
['4', '17', '3', 'gamma'] : 010110000101111101100101111010101110110011101100
['9', '1', '13', 'beta'] : 001010111100011100101111110000110000011100000110
['9', '2', '13', 'beta'] : 001010111100011100111110101011100000011100000110
['9', '3', '13', 'beta'] : 001010111100011101101101110110100000011100000110
['14', '2', '*', 'beta'] : 100000001011001000111110101011100101011001101100
['14', '3', '*', 'beta'] : 100000001011001001101101110110100101011001101100
['13', '*', '17', 'beta'] : 000110101111011101110101101000010111101000110010
['1', '12', '1', 'gamma'] : 010001010101111001100100111101101101101010111111
['2', '12', '1', 'gamma'] : 000001101010011001100100111101101101101010111111
['3', '12', '1', 'gamma'] : 011100101100000101100100111101101101101010111111
['1', '2', '16', 'alpha'] : 010001010101111000111110101011100100010111010011
['1', '3', '16', 'alpha'] : 010001010101111001101101110110100100010111010011
['18', '4', '2', 'gamma'] : 100101110001100010100111110000001001010111101001
['18', '1', '3', 'gamma'] : 100101110001100000101111110000111110110011101100
['18', '2', '3', 'gamma'] : 100101110001100000111110101011101110110011101100
['18', '3', '3', 'gamma'] : 100101110001100001101101110110101110110011101100
['18', '4', '3', 'gamma'] : 100101110001100010100111110000001110110011101100
['18', '1', '4', 'gamma'] : 100101110001100000101111110000111111011010000100
['18', '2', '4', 'gamma'] : 100101110001100000111110101011101111011010000100
['18', '3', '4', 'gamma'] : 100101110001100001101101110110101111011010000100
['18', '4', '4', 'gamma'] : 100101110001100010100111110000001111011010000100
['11', '4', '1', 'beta'] : 101100001111010010100111110000001101101010111111
['1', '7', '16', 'gamma'] : 010001010101111000010000101111100100010111010011
['2', '7', '16', 'gamma'] : 000001101010011000010000101111100100010111010011
['3', '7', '16', 'gamma'] : 011100101100000100010000101111100100010111010011
['*', '10', '1', 'gamma'] : 010101001000101010111100001111001101101010111111
['*', '10', '2', 'gamma'] : 010101001000101010111100001111001001010111101001
['*', '10', '3', 'gamma'] : 010101001000101010111100001111001110110011101100
['1', '7', '2', 'beta'] : 010001010101111000010000101111101001010111101001
['2', '7', '2', 'beta'] : 000001101010011000010000101111101001010111101001
['3', '7', '2', 'beta'] : 011100101100000100010000101111101001010111101001
['1', '7', '3', 'beta'] : 010001010101111000010000101111101110110011101100
['2', '7', '3', 'beta'] : 000001101010011000010000101111101110110011101100
['3', '7', '3', 'beta'] : 011100101100000100010000101111101110110011101100
['1', '7', '4', 'beta'] : 010001010101111000010000101111101111011010000100
['2', '7', '4', 'beta'] : 000001101010011000010000101111101111011010000100
['3', '7', '4', 'beta'] : 011100101100000100010000101111101111011010000100
['7', '9', '1', 'alpha'] : 101001101001010001101101001001001101101010111111
['7', '9', '2', 'alpha'] : 101001101001010001101101001001001001010111101001
['7', '9', '3', 'alpha'] : 101001101001010001101101001001001110110011101100
['12', '0', '2', 'gamma'] : 101001011010000110010101010110001001010111101001
['12', '0', '3', 'gamma'] : 101001011010000110010101010110001110110011101100
['12', '0', '4', 'gamma'] : 101001011010000110010101010110001111011010000100
['*', '1', '2', 'gamma'] : 010101001000101000101111110000111001010111101001
['14', '16', '2', 'gamma'] : 100000001011001000001000010110101001010111101001
['14', '16', '3', 'gamma'] : 100000001011001000001000010110101110110011101100
['2', '14', '20', 'beta'] : 000001101010011000001001000100001100000100000010
['3', '14', '20', 'beta'] : 011100101100000100001001000100001100000100000010
['4', '14', '20', 'beta'] : 010110000101111100001001000100001100000100000010
['5', '7', '14', 'alpha'] : 001000001111010100010000101111101110011010011011
['2', '6', '20', 'gamma'] : 000001101010011011000100110100101100000100000010
['2', '0', '0', 'beta'] : 000001101010011010010101010110001001000101001100
['3', '0', '0', 'beta'] : 011100101100000110010101010110001001000101001100
['6', '2', '0', 'gamma'] : 001100001101000000111110101011101001000101001100
['6', '3', '0', 'gamma'] : 001100001101000001101101110110101001000101001100
['10', '1', '2', 'gamma'] : 010000111011101000101111110000111001010111101001
['10', '2', '2', 'gamma'] : 010000111011101000111110101011101001010111101001
['10', '3', '2', 'gamma'] : 010000111011101001101101110110101001010111101001
['10', '4', '2', 'gamma'] : 010000111011101010100111110000001001010111101001
['10', '1', '3', 'gamma'] : 010000111011101000101111110000111110110011101100
['10', '2', '3', 'gamma'] : 010000111011101000111110101011101110110011101100
['10', '3', '3', 'gamma'] : 010000111011101001101101110110101110110011101100
['10', '4', '3', 'gamma'] : 010000111011101010100111110000001110110011101100
['10', '1', '4', 'gamma'] : 010000111011101000101111110000111111011010000100
['10', '2', '4', 'gamma'] : 010000111011101000111110101011101111011010000100
['10', '3', '4', 'gamma'] : 010000111011101001101101110110101111011010000100
['10', '4', '4', 'gamma'] : 010000111011101010100111110000001111011010000100
['6', '2', '7', 'beta'] : 001100001101000000111110101011100110101110011111
['*', '11', '8', 'alpha'] : 010101001000101011111010000001000111000110010011
['4', '12', '8', 'beta'] : 010110000101111101100100111101100111000110010011
['*', '6', '18', 'gamma'] : 010101001000101011000100110100100010111001100110
['*', '7', '1', 'alpha'] : 010101001000101000010000101111101101101010111111
['*', '7', '2', 'alpha'] : 010101001000101000010000101111101001010111101001
['*', '7', '3', 'alpha'] : 010101001000101000010000101111101110110011101100
['*', '1', '3', 'alpha'] : 010101001000101000101111110000111110110011101100
['*', '1', '4', 'alpha'] : 010101001000101000101111110000111111011010000100
['*', '20', '16', 'gamma'] : 010101001000101001010110010010000100010111010011
['0', '1', '2', 'beta'] : 000011001110001100101111110000111001010111101001
['0', '2', '2', 'beta'] : 000011001110001100111110101011101001010111101001
['0', '3', '2', 'beta'] : 000011001110001101101101110110101001010111101001
['0', '4', '2', 'beta'] : 000011001110001110100111110000001001010111101001
['0', '1', '3', 'beta'] : 000011001110001100101111110000111110110011101100
['0', '2', '3', 'beta'] : 000011001110001100111110101011101110110011101100
['0', '3', '3', 'beta'] : 000011001110001101101101110110101110110011101100
['0', '4', '3', 'beta'] : 000011001110001110100111110000001110110011101100
['0', '1', '4', 'beta'] : 000011001110001100101111110000111111011010000100
['0', '2', '4', 'beta'] : 000011001110001100111110101011101111011010000100
['0', '3', '4', 'beta'] : 000011001110001101101101110110101111011010000100
['0', '4', '4', 'beta'] : 000011001110001110100111110000001111011010000100
['10', '1', '1', 'beta'] : 010000111011101000101111110000111101101010111111
['10', '2', '1', 'beta'] : 010000111011101000111110101011101101101010111111
['10', '3', '1', 'beta'] : 010000111011101001101101110110101101101010111111
['10', '4', '1', 'beta'] : 010000111011101010100111110000001101101010111111
['*', '16', '2', 'alpha'] : 010101001000101000001000010110101001010111101001
['*', '16', '3', 'alpha'] : 010101001000101000001000010110101110110011101100
['*', '16', '4', 'alpha'] : 010101001000101000001000010110101111011010000100
['*', '*', '*', 'delta'] : 010101001000101001110101101000010101011001101100
